"date","visits"
2023-11-06,47
2023-11-07,62
2023-11-08,62
2023-11-09,55
2023-11-10,56
2023-11-11,61
2023-11-13,61
2023-11-14,48
2023-11-15,59
2023-11-16,55
2023-11-17,52
2023-11-18,54
2023-11-19,7
2023-11-20,52
2023-11-21,61
2023-11-22,64
2023-11-23,60
2023-11-24,50
2023-11-25,43
2023-11-27,49
2023-11-28,51
2023-11-29,65
2023-11-30,61
2023-12-01,58
2023-12-02,54
2023-12-04,53
2023-12-05,56
2023-12-06,58
2023-12-07,52
2023-12-08,57
2023-12-09,53
2023-12-11,53
2023-12-12,61
2023-12-13,50
2023-12-14,61
2023-12-15,50
2023-12-16,47
2023-12-18,48
2023-12-19,67
2023-12-20,51
2023-12-21,47
2023-12-22,43
2023-12-23,41
2023-12-25,57
2023-12-26,53
2023-12-27,52
2023-12-28,69
2023-12-29,46
2023-12-30,43
2023-12-31,3
